Word	Cyrillic	Village	Type	General type	Lat	Lon	Language	Dialect / Alternative name	Glottocode	Resource type	Reference	Comment
burč	бурч	Glottolog_point	2. burč	other	43	47	Kumyk			Dictionary	https://кумыкский-язык.рф/slovar/	Glottolog coordinates
isːot	иссот	Glottolog_point	1. istiot	istiot	43	47.2	Kumyk			Dictionary	https://кумыкский-язык.рф/slovar/	Glottolog coordinates
žibžej	жибижей	Glottolog_point	5. žibži	other	43.1	47	Kumyk			Dictionary	https://кумыкский-язык.рф/slovar/	Glottolog coordinates
istiut	истиут	Ikhrek	1. istiot	istiot	41.693931	47.210005	Rutul			Fieldwork	Ikhrek1	
isiut	исиут	Ikhrek	1. istiot	istiot	41.693931	47.3	Rutul			Fieldwork	Ikhrek2	
isːiut	иссиут	Ikhrek	1. istiot	istiot	41.693931	47.210005	Rutul			Fieldwork	Ikhrek3	
istiwut	истивут	Ikhrek	1. istiot	istiot	41.8	47.210005	Rutul			Fieldwork	Ikhrek4	
isiut	исиут	Glottolog_point	1. istiot	istiot	42.42568	47.43876	Dargwa			Dictionary	Isaev, Magomedšapi A. 1988. Russko-darginskij slovar’ [Russian-Dargwa dictionary]. Makhachkala: Dagučpedgiz.	Glottolog coordinates
žibži	жибжи	Glottolog_point	5. žibži	other	42.42568	47.55	Dargwa			Dictionary	Isaev, Magomedšapi A. 1988. Russko-darginskij slovar’ [Russian-Dargwa dictionary]. Makhachkala: Dagučpedgiz.	Glottolog coordinates
sːiut	ссиут	Itsari	1. istiot	istiot	41.99733	47.5833	Itsari			Fieldwork	Itsari1	
pučː	пучч	Karata	2. burč	other	42.5942	46.3419	Karata			Fieldwork	Karat1	
počː	почч	Karata	2. burč	other	42.71	46.3419	Karata			Fieldwork	Karata2	
puč	пуч	Karata	2. burč	other	42.5942	46.5	Karata			Fieldwork	Karata3	
istiwut	истивут	Khiv	1. istiot	istiot	41.7533	47.9286	Tabasaran			Fieldwork	Khiv1	
istiot	истиот	Khlut	1. istiot	istiot	41.496274	47.533824	Lezgian			Fieldwork	Khlut1	
istiwut	истивут	Khoredzh	1. istiot	istiot	41.74914	47.8667	Tabasaran			Fieldwork	Khoredzh1	
ustoth		Khinalugh	1. istiot	istiot	41.17778	48.12694	Khinalugh			Dictionary	Kibrik, Alexandr E., Sandro V. Kodzasov & I.P. Olovjannikova. 1972. Fragmenty grammatiki xinalugskogo jazyk [Fragments of Khinalug grammar], 337.	
istawut	иставут	Kiche	1. istiot	istiot	41.53146	47.48171	Rutul			Fieldwork	Kiche1	
istiut	истиут	Kiche	1. istiot	istiot	41.53146	47.6	Rutul			Fieldwork	Kiche2	
perec	перец	Kidero	4. perec	other	42.1931	45.9583	Tsez			Fieldwork	Kidero1	
ʕeƛu	г1ел1у	Kidero	6. other	other	42.1931	45.8	Tsez			Fieldwork	Kidero2	
iƛ’mu	икьму	Kidero	6. other	other	42.27	45.9583	Tsez			Fieldwork	Kidero3	
istiut	истиут	Kina	1. istiot	istiot	41.6166	47.2647	Rutul			Fieldwork	Kina1	
usjot	усöт	Kusur	1. istiot	istiot	41.781293	46.949207	Avar	Kusur		Fieldwork	Kusur1	
istiwut	истивут	Laka	1. istiot	istiot	41.75705	47.88114	Tabasaran			Fieldwork	Laka1	
usːoːt	уссоот	Mikik	1. istiot	istiot	41.63753	47.16822	Tsakhur			Fieldwork	Mikik1	
isːoʔot	иссоъот	Mikik	1. istiot	istiot	41.8	47.16822	Tsakhur			Fieldwork	Mikik2	
pučːi	пуччи	Muni	2. burč	other	42.680242	46.308874	Andi			Fieldwork	Muni1	
burč	бурч	Rikvani	2. burč	other	42.782304	46.319372	Andi			Fieldwork	Rikvani1	
ust’uʔut	уст1уъут	Rutul	1. istiot	istiot	41.5342	47.4269	Rutul			Fieldwork	Rutul1	
perec	перец	Tadmagitl	4. perec	other	42.550266	46.348953	Akhvakh			Fieldwork	Tadmagitl1	
istawut	иставут 	Tatil	1. istiot	istiot	41.99269	47.98826	Tabasaran			Fieldwork	Tatil2	
sːiwat	ссиват	Tebek-Makhi	1. istiot	istiot	42.3431	47.2072	Cudaxar			Fieldwork	Tebek1	
istːiwut	исттивут	Tpig	1. istiot	istiot	41.780423	47.589523	Aghul			Fieldwork	Tpig1	
istiwut	истивут	Tsinit	1. istiot	istiot	41.72324	48.00882	Lezgian			Fieldwork	Tsinit1	
perec	перец	Tukita	4. perec	other	42.5731115	46.3691163	Karata			Fieldwork	Tukita1	
p’ilp’il		Hunzib	3. pilpil	other	42.137257	46.264448	Hunzib			Dictionary	van den Berg, Helma. 1995. A grammar of Hunzib. Leiden: Dissertation, 326.	
istawut	иставут	Xapil	1. istiot	istiot	41.98722	47.97731	Tabasaran			Fieldwork	Xapil1	
istawut	иставут	Yagdyg	1. istiot	istiot	41.980115	47.970578	Tabasaran			Fieldwork	Yagdyg1	
istoʔut	истоъут	Yersi	1. istiot	istiot	42.018844	48.012897	North Azerbaijani			Fieldwork	Yersi1	
istohut	истогьут	Yersi	1. istiot	istiot	42.2	48.012897	North Azerbaijani			Fieldwork	Yersi2	
perec	перец	Zilo	4. perec	other	42.731394	46.4	Andi			Fieldwork	Zilo1	
purčːi	пурччи	Zilo	2. burč	other	42.731394	46.319223	Andi			Fieldwork	Zilo1	
purčːi	пурччи	Zilo	2. burč	other	42.8	46.319223	Andi			Fieldwork	Zilo2	
